bfs_nr,community_name,number_of_foreigners,foreigners_percentage
3251,Altstätten,3739,30.4528424825
3311,Amden,198,10.720086627
3441,Andwil (SG),141,6.6666666667
3231,Au (SG),3046,36.9122636937
3291,Bad Ragaz,2003,30.0615338436
3232,Balgach,1220,24.0773633314
3312,Benken (SG),370,12.2597746852
3211,Berg (SG),118,11.9433198381
3233,Berneck,771,19.4549583649
3271,Buchs (SG),5946,43.7045203969
3395,Bütschwil-Ganterschwil,773,14.971915553
3401,Degersheim,702,17.2016662583
3234,Diepoldsau,1778,25.8092611409
3352,Ebnat-Kappel,691,13.878288813
3212,Eggersriet,224,9.475465313
3252,Eichberg,253,16.2596401028
3342,Eschenbach (SG),1663,16.6366546619
3402,Flawil,3101,29.6860042121
3292,Flums,1180,22.6444060641
3442,Gaiserwald,1283,15.0533849583
3272,Gams,868,24.0709927898
3213,Goldach,2481,25.9464547166
3341,Gommiswald,778,13.9827462257
3443,Gossau (SG),3956,21.7052562274
3273,Grabs,1527,20.9120788825
3372,Hemberg,59,6.1844863732
3201,Häggenschwil,139,9.9784637473
3405,Jonschwil,487,12.2948750316
3313,Kaltbrunn,967,19.1447238171
3392,Kirchberg (SG),2855,29.6407807309
3374,Lichtensteig,402,20.303030303
3393,Lütisburg,250,15.4416306362
3253,Marbach (SG),433,20.2620496022
3293,Mels,1784,19.1601331758
3394,Mosnang,169,5.7876712329
3202,Muolen,123,9.8164405427
3214,Mörschwil,309,8.5382702404
3378,Neckertal,439,10.6450048497
3360,Nesslau,275,7.3667291722
3422,Niederbüren,140,9.1683038638
3423,Niederhelfenschwil,247,7.7163386442
3424,Oberbüren,578,12.5980819529
3375,Oberhelfenschwil,140,11.2359550562
3254,Oberriet (SG),1722,18.7581699346
3407,Oberuzwil,1385,21.1903304774
3294,Pfäfers,216,13.8195777351
3295,Quarten,565,18.8333333333
3340,Rapperswil-Jona,5441,19.2588135353
3255,Rebstein,1648,33.591520587
3235,Rheineck,1192,34.243033611
3215,Rorschach,4945,50.5778868774
3216,Rorschacherberg,2260,29.6587926509
3256,Rüthi (SG),585,23.6650485437
3296,Sargans,1880,29.1789539035
3338,Schmerikon,1075,26.1557177616
3315,Schänis,590,14.6729669237
3274,Sennwald,2124,34.8139649238
3275,Sevelen,2066,39.1362000379
3203,St. Gallen,24958,32.442058468
3236,St. Margrethen,3202,51.2401984317
3217,Steinach,869,24.2534189227
3237,Thal,1641,23.7344518369
3218,Tübach,206,12.9804662886
3219,Untereggen,84,8.1871345029
3339,Uznach,2039,29.7664233577
3408,Uzwil,4002,28.9350010845
3297,Vilters-Wangs,866,17.2681954138
3444,Waldkirch,287,8.1349206349
3298,Walenstadt,1057,18.3411417664
3276,Wartau,1752,32.4745134384
3379,Wattwil,2241,25.0279204825
3316,Weesen,263,14.2547425474
3238,Widnau,2906,28.5517783455
3427,Wil (SG),7524,30.6588973554
3359,Wildhaus-Alt St. Johann,354,13.5528330781
3204,Wittenbach,2761,27.8495057494
3426,Zuzwil (SG),646,12.927756654
