bfs_nr,community_name,value
3251,Altstätten,2213
3311,Amden,2676
3441,Andwil (SG),2339
3231,Au (SG),2510
3291,Bad Ragaz,2541
3232,Balgach,3644
3312,Benken (SG),1899
3211,Berg (SG),2263
3233,Berneck,2803
3271,Buchs (SG),2205
3395,Bütschwil-Ganterschwil,1828
3401,Degersheim,1626
3234,Diepoldsau,2484
3352,Ebnat-Kappel,1676
3212,Eggersriet,2179
3252,Eichberg,1959
3342,Eschenbach (SG),2300
3402,Flawil,1826
3292,Flums,1831
3442,Gaiserwald,2795
3272,Gams,1960
3213,Goldach,2431
3341,Gommiswald,2513
3443,Gossau (SG),2275
3273,Grabs,2152
3372,Hemberg,1609
3201,Häggenschwil,2096
3405,Jonschwil,2104
3313,Kaltbrunn,1988
3392,Kirchberg (SG),1944
3374,Lichtensteig,1913
3393,Lütisburg,1690
3253,Marbach (SG),2021
3293,Mels,1917
3394,Mosnang,1614
3202,Muolen,1885
3214,Mörschwil,4518
3378,Neckertal,1473
3360,Nesslau,1737
3422,Niederbüren,2039
3423,Niederhelfenschwil,2090
3424,Oberbüren,2015
3375,Oberhelfenschwil,1754
3254,Oberriet (SG),2071
3407,Oberuzwil,2151
3294,Pfäfers,1752
3295,Quarten,2172
3340,Rapperswil-Jona,3688
3255,Rebstein,2335
3235,Rheineck,1854
3215,Rorschach,1710
3216,Rorschacherberg,2478
3256,Rüthi (SG),2056
3296,Sargans,2043
3338,Schmerikon,2411
3315,Schänis,1735
3274,Sennwald,2299
3275,Sevelen,1967
3203,St. Gallen,2395
3236,St. Margrethen,1846
3217,Steinach,2292
3237,Thal,2554
3218,Tübach,2958
3219,Untereggen,2313
3339,Uznach,1978
3408,Uzwil,1932
3297,Vilters-Wangs,1894
3444,Waldkirch,1994
3298,Walenstadt,2188
3276,Wartau,1742
3379,Wattwil,1729
3316,Weesen,2706
3238,Widnau,2472
3427,Wil (SG),2455
3359,Wildhaus-Alt St. Johann,2180
3204,Wittenbach,1937
3426,Zuzwil (SG),3214
